Country;Year;Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e)
Senegal;1992;9.967.028;681.422.596;5.681.130.323
Senegal;1993;990.285;697.161.962;582.489.136
Senegal;1994;10.033.132;710.543.328;5.909.382.398
Senegal;1995;10.120.906;7.190.086.939;5.934.603.436
Senegal;1996;1.032.219;7.123.963.943;596.746.683
Senegal;1997;10.607.314;7.303.150.946;6.041.470.224
Senegal;1998;10.993.734;789.780.795;6.327.303.618
Senegal;1999;11.346.874;8.924.624.953;7.097.957.012
Senegal;2000;11.528.558;8.606.431.957;7.384.240.406
Senegal;2001;11.245.406;8.415.795.903;7.716.779.964
Senegal;2002;1.137.424;760.770.985;6.943.069.521
Senegal;2003;1.127.277;7.189.273.797;6.438.349.079
Senegal;2004;1.227.105;7.890.107.743;7.355.788.636
Senegal;2005;12.558.508;813.169.169;7.623.638.194
Senegal;2006;11.782.058;8.743.582.333;796.439.366
Senegal;2007;12.408.376;8.266.852.976;7.410.609.127
Senegal;2008;12.621.906;8.582.063.619;7.856.564.593
Senegal;2009;12.872.988;8.424.254.261;771.560.006
Senegal;2010;13.323.232;9.075.724.904;8.484.955.526
Senegal;2011;13.610.426;9.374.129.594;8.583.589.155
Senegal;2012;1.150.738;8.685.884.283;7.837.602.784
Serbia;1990;;;
Serbia;1991;;;
Serbia;1992;;;
Serbia;1993;;;
Serbia;1994;;;
Serbia;1995;;;
Serbia;1996;;;
Serbia;1997;;;
Serbia;1998;;;
Serbia;1999;;;
Serbia;2000;;;
Serbia;2001;;;
Serbia;2002;;;
Serbia;2003;;;
Serbia;2004;;;
Serbia;2005;;;
Serbia;2006;530.954;83.300.828;4.176.590.778
Serbia;2007;-13.943.708;8.153.909.067;4.634.692.365
Serbia;2008;-17.023.962;7.746.055.334;4.024.723.953
Serbia;2009;-2.246.785;7.337.861.601;469.801.554
Serbia;2010;-24.092.426;7.018.657.868;3.885.117.128
Serbia;2011;-22.130.212;6.975.594.288;4.012.812.446
Serbia;2012;-3.118.829;7.054.780.708;4.650.727.764
Seychelles;1990;0.113584;;
Seychelles;1991;0.142896;;
Seychelles;1992;0.16488;;
Seychelles;1993;0.161216;;
Seychelles;1994;0.186864;;
Seychelles;1995;0.186864;;
Seychelles;1996;0.194192;;
Seychelles;1997;0.406704;;
Seychelles;1998;0.432352;;
Seychelles;1999;0.505632;;
Seychelles;2000;0.556928;;
Seychelles;2001;0.633872;;
Seychelles;2002;0.538608;;
Seychelles;2003;0.5496;;
Seychelles;2004;0.736464;;
Seychelles;2005;0.688832;;
Seychelles;2006;0.7328;;
Seychelles;2007;0.6412;;
Seychelles;2008;0.692496;;
Seychelles;2009;0.740128;;
Seychelles;2010;0.688832;;
Seychelles;2011;0.597232;;
Seychelles;2012;13.043;;
Sierra Leone;1990;6.120.304;2.911.987.707;0.584788268
Sierra Leone;1991;6.163.222;289.734.415;0.580243642
Sierra Leone;1992;598.737;2.905.350.593;0.593409015
Sierra Leone;1993;5.983.726;2.971.577.036;0.609744389
Sierra Leone;1994;604.238;2.938.893.479;0.619319763
Sierra Leone;1995;6.046.064;2.869.279.922;0.604785136
Sierra Leone;1996;607.907;2.780.505.309;0.551944065
Sierra Leone;1997;6.086.418;2.792.420.697;0.544592994
Sierra Leone;1998;606.079;2.817.686.085;0.556171923
Sierra Leone;1999;6.046.164;2.632.861.472;0.518500852
Sierra Leone;2000;6.119.464;256.091.686;0.489069781
Sierra Leone;2001;626.597;266.248.572;0.430649741
Sierra Leone;2002;630.258;289.621.458;0.477029702
Sierra Leone;2003;6.350.192;302.065.344;0.520379662
Sierra Leone;2004;633.917;32.407.523;0.556199622
Sierra Leone;2005;6.243.886;342.186.116;0.564989582
Sierra Leone;2006;642.331;3.824.863.202;0.765387866
Sierra Leone;2007;633.179;3.399.975.243;0.696146149
Sierra Leone;2008;6.353.854;3.634.997.285;0.809024432
Sierra Leone;2009;6.342.942;3.748.449.327;0.811102716
Sierra Leone;2010;6.416.302;3.819.771.368;0.806730999
Sierra Leone;2011;658.858;4.038.359.515;0.89973722
Sierra Leone;2012;70.022;4.717.867.663;122.044.344
Singapore;1990;31.171.728;0.639485136;0.243808323
Singapore;1991;32.785.008;0.671024165;0.365851609
Singapore;1992;33.493.712;0.702633195;0.489534896
Singapore;1993;3.885.232;0.734362224;0.614498182
Singapore;1994;40.794.608;0.779591254;0.747521469
Singapore;1995;4.069.224;0.821470283;0.879534755
Singapore;1996;41.883.536;0.969404033;0.900954389
Singapore;1997;42.643.536;1.115.337.783;0.915514024
Singapore;1998;40.593.552;1.263.051.533;0.942403658
Singapore;1999;40.906.464;1.422.555.284;0.968513293
Singapore;2000;44.969.984;1.545.149.034;0.980402927
Singapore;2001;44.984.998;1.610.089.866;0.992045235
Singapore;2002;44.853.478;1.700.410.699;1.016.937.543
Singapore;2003;4.234.783;1.765.431.531;1.066.809.851
Singapore;2004;4.444.455;1.830.322.364;1.095.242.159
Singapore;2005;4.272.455;1.895.273.196;1.106.874.467
Singapore;2006;4.323.523;1.960.854.743;11.412.317
Singapore;2007;4.479.523;202.484.629;1.159.168.933
Singapore;2008;4.278.523;2.088.727.837;1.163.656.165
Singapore;2009;4.407.523;2.152.699.384;1.160.053.398
Singapore;2010;4.894.523;2.218.290.931;1.166.370.631
Singapore;2011;5.033.523;2.282.893.253;1.199.448.785
Singapore;2012;4.975.523;2.347.265.574;1.213.236.938
Slovakia;1990;;;
Slovakia;1991;;;
Slovakia;1992;;;
Slovakia;1993;4.456.913;5.048.770.404;3.104.801.422
Slovakia;1994;31.760.358;4.735.255.749;2.949.415.702
Slovakia;1995;3.238.399;4.629.431.094;2.884.879.981
Slovakia;1996;32.823.474;4.779.335.997;2.894.552.555
Slovakia;1997;33.149.374;48.061.209;2.829.055.129
Slovakia;1998;3.226.452;4.759.435.803;2.796.767.704
Slovakia;1999;31.302.878;4.650.720.707;2.526.080.278
Slovakia;2000;28.998.806;471.301.561;2.580.452.852
Slovakia;2001;3.090.543;473.352.405;2.716.438.876
Slovakia;2002;30.392.558;4.792.062.491;2.772.654.899
Slovakia;2003;30.843.882;4.785.490.931;2.778.880.922
Slovakia;2004;29.656.486;4.796.249.372;2.928.156.945
Slovakia;2005;30.620.144;4.732.447.813;2.918.822.969
Slovakia;2006;32.858.586;4.740.662.319;2.683.580.021
Slovakia;2007;32.369.134;4.737.196.824;2.405.987.074
Slovakia;2008;3.213.505;473.505.133;2.139.864.127
Slovakia;2009;28.573.746;4.732.805.836;187.187.118
Slovakia;2010;30.290.082;4.741.390.342;1.608.198.233
Slovakia;2011;28.910.676;4.731.330.669;172.136.614
Slovakia;2012;2.693.551.518;4.714.100.995;1.714.774.047
Slovenia;1990;;;
Slovenia;1991;;;
Slovenia;1992;12.741.326;2.039.301.292;0.925048
Slovenia;1993;4.620.064;2.040.995.756;0.886102114
Slovenia;1994;4.690.978;1.995.800.219;0.906196227
Slovenia;1995;558.427;1.979.804.683;0.838480341
Slovenia;1996;633.824;2.012.633.426;0.780904544
Slovenia;1997;6.764.194;1.992.072.169;0.853768746
Slovenia;1998;6.518.174;1.961.760.913;0.851282949
Slovenia;1999;5.940.464;1.923.939.656;0.849917152
Slovenia;2000;5.526.418;19.529.684;0.863501355
Slovenia;2001;2.143.242;1.986.227.358;0.880821053
Slovenia;2002;225.297;1.962.806.317;0.865640751
Slovenia;2003;2.327.264;1.966.505.276;0.868350449
Slovenia;2004;2.444.704;1.912.844.235;0.829720147
Slovenia;2005;2.580.758;1.912.743.193;0.811249845
Slovenia;2006;2.703.802;1.880.062.946;0.817790992
Slovenia;2007;2.606.778;1.850.322.698;0.817512139
Slovenia;2008;3.475.098;1.864.832.451;0.804153286
Slovenia;2009;1.543.194;1.812.802.203;0.802274433
Slovenia;2010;1.901.514;1.792.811.956;0.80970558
Slovenia;2011;1.709.834;1.785.017.102;0.810814301
Slovenia;2012;0.54985;1.767.062.248;0.800103023
Solomon Islands;1990;1.847.856;0.182105508;0.016767627
Solomon Islands;1991;1.847.866;0.187494501;0.016867875
Solomon Islands;1992;1.847.866;0.193883493;0.017058124
Solomon Islands;1993;1.844.212;0.199862485;0.017268372
Solomon Islands;1994;1.840.548;0.204741477;0.01725862
Solomon Islands;1995;1.847.876;0.210370469;0.017338868
Solomon Islands;1996;1.847.886;0.216964964;0.017474739
Solomon Islands;1997;1.847.886;0.223569458;0.01764061
Solomon Islands;1998;1.847.896;0.229523953;0.01773648
Solomon Islands;1999;185.156;0.237278448;0.017872351
Solomon Islands;2000;185.157;0.244832942;0.018088222
Solomon Islands;2001;1.785.408;0.249587397;0.018272204
Solomon Islands;2002;1.785.478;0.256481852;0.018456187
Solomon Islands;2003;1.792.866;0.263496306;0.018610169
Solomon Islands;2004;1.792.936;0.271940761;0.019214152
Solomon Islands;2005;1.793.006;0.279665216;0.019438134
Solomon Islands;2006;1.866.196;0.287055858;0.019944884
Solomon Islands;2007;1.877.188;0.294546501;0.020421633
Solomon Islands;2008;1.877.198;0.302497143;0.020628383
Solomon Islands;2009;1.880.862;0.309667786;0.020795132
Solomon Islands;2010;1.884.536;0.316078428;0.020831881
Solomon Islands;2011;1.884.536;0.322839604;0.0209261
Solomon Islands;2012;195.271;0.32981078;0.021250319
South Africa;1990;261.146.138;3.926.280.832;2.025.906.947
South Africa;1991;25.409.801;3.990.889.507;2.041.552.798
South Africa;1992;249.350.154;4.021.709.183;2.017.518.649
South Africa;1993;25.611.137;4.022.470.858;20.675.245
South Africa;1994;26.200.617;4.036.048.534;2.053.852.351
South Africa;1995;279.478.746;4.087.250.209;2.045.754.202
South Africa;1996;289.685.896;4.183.999.402;2.136.443.069
South Africa;1997;304.474.518;4.242.909.595;2.158.272.937
South Africa;1998;311.694.982;4.381.796.788;2.222.608.805
South Africa;1999;294.722.738;435.582.398;2.195.982.672
South Africa;2000;301.855.526;4.299.877.173;218.058.754
South Africa;2001;287.588.242;4.340.374.834;2.153.528.928
South Africa;2002;298.857.836;4.394.173.494;2.238.247.317
South Africa;2003;32.507.845;4.389.587.154;2.115.877.705
South Africa;2004;34.159.646;4.396.885.815;2.083.603.094
South Africa;2005;335.967.116;4.582.669.475;2.154.301.483
South Africa;2006;337.530.994;4.465.487.805;2.092.386.945
South Africa;2007;362.914.388;4.589.145.134;2.184.080.407
South Africa;2008;391.367.908;4.576.491.463;2.229.573.869
South Africa;2009;371.867.662;4.570.095.792;2.263.222.331
South Africa;2010;382.199.072;4.596.011.122;2.264.672.793
South Africa;2011;367.548.922;4.573.453.978;2.260.622.536
South Africa;2012;383.221.997;4.591.218.835;2.276.093.279
Spain;1990;207.642.658;2.975.495.426;2.243.550.391
Spain;1991;189.500.854;3.010.747.656;2.221.025.868
Spain;1992;200.224.402;3.036.203.886;2.080.193.344
Spain;1993;184.434.724;3.024.030.116;2.175.978.821
Spain;1994;19.471.069;3.081.347.346;2.200.489.298
Spain;1995;207.643.836;3.153.640.576;2.155.474.774
Spain;1996;196.139.034;3.231.163.551;2.371.732.276
Spain;1997;215.132.732;3.398.642.526;2.349.957.777
Spain;1998;225.346.016;3.466.849.502;2.496.969.279
Spain;1999;245.787.324;3.532.755.477;247.119.278
Spain;2000;261.951.266;3.632.557.452;2.499.021.282
Spain;2001;30.357.465;3.691.238.272;2.449.321.806
Spain;2002;320.725.086;3.742.728.091;241.814.533
Spain;2003;329.877.174;3.793.563.911;2.521.518.854
Spain;2004;347.939.224;3.850.165.731;2.452.242.378
Spain;2005;362.498.728;384.963.955;2.272.350.903
Spain;2006;342.977.412;3.865.043.117;2.315.235.466
Spain;2007;355.094.708;3.924.616.683;232.881.103
Spain;2008;322.186.292;3.830.438.249;2.086.444.593
Spain;2009;281.205.662;3.912.478.815;2.054.404.157
Spain;2010;264.983.952;3.912.983.382;212.144.772
Spain;2011;265.498.534;3.858.057.825;2.045.793.332
Spain;2012;259.499.251;3.830.971.269;2.001.648.943
Sri Lanka;1990;12.795.186;1.620.162.617;254.192.112
Sri Lanka;1991;12.895.256;158.747.605;248.554.494
Sri Lanka;1992;14.134.184;1.609.051.483;256.840.876
Sri Lanka;1993;13.914.648;1.630.194.916;268.089.258
Sri Lanka;1994;14.559.304;1.659.492.349;27.649.264
Sri Lanka;1995;14.554.728;1.666.260.781;2.722.770.219
Sri Lanka;1996;17.019.434;163.410.633;2.696.771.219
Sri Lanka;1997;16.957.824;1.653.935.878;2.749.082.218
Sri Lanka;1998;17.174.326;1.612.645.427;2.773.513.218
Sri Lanka;1999;18.005.322;1.663.016.975;2.982.864.217
Sri Lanka;2000;19.380.248;1.670.739.524;2.954.045.216
Sri Lanka;2001;19.977.664;1.666.664.933;2.958.858.081
Sri Lanka;2002;20.435.102;1.689.318.342;3.183.320.945
Sri Lanka;2003;21.403.282;1.727.439.751;2.998.553.809
Sri Lanka;2004;2.181.551;170.154.816;3.073.776.673
Sri Lanka;2005;22.871.786;1.762.631.569;3.279.909.537
Sri Lanka;2006;19.246.982;1.775.676.624;325.751.532
Sri Lanka;2007;20.414.684;177.074.468;3.165.751.103
Sri Lanka;2008;1.959.608;1.839.111.736;3.557.136.886
Sri Lanka;2009;19.113.752;1.831.897.792;3.376.452.669
Sri Lanka;2010;19.895.288;1.879.224.847;3.334.318.452
Sri Lanka;2011;22.184.116;1.904.241.711;3.636.633.075
Sri Lanka;2012;2.246.871;1.904.590.575;3.373.167.698
Sudan;1990;65.947.442;4.538.497.913;3.265.764.027
Sudan;1991;63.493.012;4.633.655.167;3.362.500.758
Sudan;1992;63.207.326;4.943.676.421;3.612.056.489
Sudan;1993;61.915.916;5.212.905.674;3.799.411.221
Sudan;1994;63.365.958;5.437.298.928;4.001.889.952
Sudan;1995;63.200.842;5.526.310.182;4.053.940.683
Sudan;1996;62.284.458;5.698.428.437;4.074.091.613
Sudan;1997;63.513.372;6.428.381.692;4.361.081.543
Sudan;1998;64.076.268;7.159.396.948;4.705.018.473
Sudan;1999;63.744.514;7.545.486.203;4.816.578.403
Sudan;2000;6.444.812;7.697.862.458;4.998.772.333
Sudan;2001;22.723.174;6.888.944.355;4.413.315.354
Sudan;2002;29.218.052;7.546.766.252;4.886.988.376
Sudan;2003;22.043.168;7.571.776.148;4.861.742.398
Sudan;2004;26.644.338;7.898.739.045;4.918.262.419
Sudan;2005;2.595.778;8.193.690.942;5.146.543.441
Sudan;2006;31.817.888;8.112.797.237;4.742.414.546
Sudan;2007;30.863.296;8.473.644.532;5.144.707.651
Sudan;2008;34.973.266;8.597.047.826;5.034.300.757
Sudan;2009;4.294.374;8.985.525.121;5.137.960.862
Sudan;2010;36.625.488;8.637.855.416;4.775.095.967
Sudan;2011;41.244.878;8.968.645.928;4.985.982.264
Sudan;2012;3.822.624;894.920.644;490.111.856
Suriname;1990;3.900.906;0.67628908;0.362554295
Suriname;1991;4.190.362;0.747140959;0.359347853
Suriname;1992;4.201.354;0.826802839;0.373311412
Suriname;1993;4.245.322;0.790964719;0.36973497
Suriname;1994;425.265;0.794796598;0.369138528
Suriname;1995;427.097;0.849848478;0.365782087
Suriname;1996;4.206.324;0.873903387;0.382793327
Suriname;1997;4.232.066;0.846418295;0.382644567
Suriname;1998;429.514;0.898813203;0.388305807
Suriname;1999;4.212.068;0.866548112;0.371727047
Suriname;2000;417.138;0.82563302;0.365408287
Suriname;2001;430.398;0.846701244;0.357874667
Suriname;2002;4.301.534;0.773319468;0.344991046
Suriname;2003;4.444.602;0.919927692;0.379397425
Suriname;2004;4.420.118;0.850685915;0.370263805
Suriname;2005;4.447.174;0.780954139;0.340260184
Suriname;2006;7.323.672;0.824583956;0.37116432
Suriname;2007;7.299.762;0.821103772;0.352518457
Suriname;2008;7.341.782;0.873653588;0.414012593
Suriname;2009;744.255;1.016.053.405;0.39611673
Suriname;2010;7.211.038;0.962513221;0.386310866
Suriname;2011;6.728.214;0.973055681;0.379265191
Suriname;2012;721.605;100.897.814;0.361679515
Swaziland;1990;1.406.494;109.744.826;0.535515629
Swaziland;1991;0.357496;1.138.857.205;0.543168821
Swaziland;1992;0.311428;1.163.916.151;0.560272012
Swaziland;1993;0.195734;1.073.815.096;0.486545204
Swaziland;1994;0.563698;1.102.684.042;0.466868396
Swaziland;1995;0.550606;1.128.692.987;0.479011587
Swaziland;1996;0.453062;116.247.524;0.483782918
Swaziland;1997;1.330.152;1.168.887.492;0.472574249
Swaziland;1998;1.357.724;1.210.629.744;0.48541558
Swaziland;1999;1.394.608;1.190.601.997;0.456106911
Swaziland;2000;1.363.176;1.200.564.249;0.453048242
Swaziland;2001;1.252.974;1.128.558.075;0.411203492
Swaziland;2002;1.252.238;1.137.251.901;0.404828742
Swaziland;2003;118.413;1.181.145.727;0.436153992
Swaziland;2004;1.185.574;1.209.889.553;0.455479242
Swaziland;2005;1.188.468;1.195.623.378;0.460374492
Swaziland;2006;1.064.618;1.164.962.616;0.419456701
Swaziland;2007;112.399;1.363.251.853;0.514168909
Swaziland;2008;1.167.656;1.373.481.091;0.504591118
Swaziland;2009;11.245;1.241.420.328;0.433303327
Swaziland;2010;1.134.206;1.305.769.566;0.467455535
Swaziland;2011;114.721;1.294.868.284;0.45701776
Swaziland;2012;105.321;1.321.517.002;0.467399984
Sweden;1990;75.911.128;7.480.691.417;6.354.520.943
Sweden;1991;57.259.074;7.335.685.403;6.067.724.875
Sweden;1992;59.784.134;7.413.979.388;6.171.698.807
Sweden;1993;59.331.866;7.428.183.374;6.395.782.739
Sweden;1994;61.618.222;741.481.736;6.300.266.671
Sweden;1995;6.136.876;7.273.081.345;6.141.370.603
Sweden;1996;66.843.632;7.197.230.828;6.273.048.404
Sweden;1997;60.753.874;7.116.690.311;6.231.506.205
Sweden;1998;61.545.144;6.947.129.794;6.075.924.007
Sweden;1999;60.349.812;6.814.299.277;5.981.371.808
Sweden;2000;56.524.134;664.765.876;5.954.429.609
Sweden;2001;3.112.056;6.495.418.751;582.681.625
Sweden;2002;32.887.166;6.360.798.742;576.128.289
Sweden;2003;33.916.818;6.210.208.734;5.671.599.531
Sweden;2004;32.402.038;6.152.578.725;5.638.746.171
Sweden;2005;29.230.922;6.015.628.717;5.458.462.812
Sweden;2006;27.077.184;5.851.063.883;5.371.048.103
Sweden;2007;25.376.444;5.658.229.049;5.437.883.394
Sweden;2008;23.420.596;5.536.634.215;5.567.178.685
Sweden;2009;20.816.444;5.346.659.381;5.254.833.975
Sweden;2010;26.210.796;5.236.134.547;5.359.349.266
Sweden;2011;22.440.796;5.227.005.907;5.402.584.595
Sweden;2012;19.420.796;5.180.607.267;5.275.349.924
Switzerland;1990;42.951.486;5.514.792.597;2.663.627.663
Switzerland;1991;43.299.026;5.394.964.024;2.652.546.828
Switzerland;1992;43.287.846;5.247.615.451;2.632.635.993
Switzerland;1993;40.908.266;5.112.076.878;2.619.725.158
Switzerland;1994;40.060.136;5.072.508.305;2.626.784.323
Switzerland;1995;40.836.588;4.995.279.732;2.631.333.487
Switzerland;1996;4.152.472;4.957.901.793;2.625.259.382
Switzerland;1997;4.016.674;4.727.133.853;2.542.115.278
Switzerland;1998;4.203.373;4.648.855.914;2.532.611.173
Switzerland;1999;42.106.742;4.561.027.974;2.468.487.068
Switzerland;2000;41.265.322;4.485.120.034;2.442.842.963
Switzerland;2001;42.704.668;4.507.413.134;2.482.124.135
Switzerland;2002;41.708.972;4.443.356.233;2.365.455.306
Switzerland;2003;42.920.684;4.339.969.333;2.335.786.478
Switzerland;2004;43.403.756;4.330.182.432;236.055.765
Switzerland;2005;43.960.268;4.261.475.532;2.383.888.822
Switzerland;2006;43.637.916;4.282.626.883;2.390.546.804
Switzerland;2007;41.612.126;4.277.278.234;2.385.194.786
Switzerland;2008;43.144.656;4.194.239.585;2.411.512.768
Switzerland;2009;41.697.186;4.156.560.936;2.405.390.749
Switzerland;2010;43.159.716;4.144.402.287;2.410.658.731
Switzerland;2011;39.083.318;4.123.547.444;2.381.802.076
Switzerland;2012;404.751.152;4.097.432.601;2.382.795.422
Syria;1990;30.552.034;2.065.968.272;3.602.711.169
Syria;1991;32.361.234;2.231.022.305;3.473.380.522
Syria;1992;31.871.402;2.384.398.338;3.540.489.874
Syria;1993;31.536.878;2.491.010.371;3.409.469.227
Syria;1994;32.816.438;2.664.291.405;3.673.088.579
Syria;1995;34.734.878;2.838.804.438;3.970.307.931
Syria;1996;37.133.418;2.856.797.279;4.009.533.545
Syria;1997;38.571.962;287.266.412;4.054.799.158
Syria;1998;42.548.368;2.901.716.962;4.201.974.772
Syria;1999;41.765.242;2.893.499.803;4.181.420.386
Syria;2000;4.170.953;2.892.532.645;4.072.385.999
Syria;2001;41.677.544;2.816.552.868;3.839.097.424
Syria;2002;43.959.174;278.058.209;4.096.468.848
Syria;2003;43.710.304;2.756.414.313;4.457.130.273
Syria;2004;47.170.568;2.740.810.536;4.575.571.697
Syria;2005;56.647.446;2.719.813.759;5.062.803.122
Syria;2006;59.579.232;2.732.027.921;5.391.020.305
Syria;2007;63.163.816;2.741.372.084;5.377.057.488
Syria;2008;64.531.384;2.684.979.247;4.915.294.671
Syria;2009;59.043.638;2.660.816.409;4.583.721.855
Syria;2010;59.501.864;2.619.174.572;3.739.229.038
Syria;2011;55.470.594;2.700.141.583;4.186.417.587
Syria;2012;3.933.191;2.742.609.594;4.029.286.137
Tajikistan;1990;;;
Tajikistan;1991;;;
Tajikistan;1992;7.617.856;3.515.511.137;1.579.212.421
Tajikistan;1993;5.221.604;3.213.371.706;1.346.206.995
Tajikistan;1994;3.100.408;3.061.802.274;1.290.021.569
Tajikistan;1995;2.582.866;2.839.462.843;1.240.966.143
Tajikistan;1996;2.317.318;2.688.827.471;1.147.446.044
Tajikistan;1997;259.008;2.585.362.099;1.187.835.946
Tajikistan;1998;2.849.188;2.455.866.727;1.064.435.847
Tajikistan;1999;2.636.606;2.422.701.355;0.940375748
Tajikistan;2000;2.287.698;2.349.745.983;0.93551565
Tajikistan;2001;214.664;2.376.822.046;0.972061376
Tajikistan;2002;2.131.296;2.448.848.109;0.940697103
Tajikistan;2003;2.174.272;2.544.694.172;100.436.283
Tajikistan;2004;2.585.264;2.669.800.235;1.235.508.556
Tajikistan;2005;2.464.576;2.845.186.298;1.314.334.283
Tajikistan;2006;2.679.232;2.987.573.883;154.960.268
Tajikistan;2007;3.257.552;3.097.241.469;1.603.051.076
Tajikistan;2008;3.025.264;3.484.589.054;1.779.589.473
Tajikistan;2009;2.388.928;369.111.664;187.345.787
Tajikistan;2010;2.422.896;3.750.064.225;1.882.756.266
Tajikistan;2011;2.540.224;3.863.496.216;1.945.941.423
Tajikistan;2012;2.74;4.051.438.207;2.032.216.579
Tanzania;1990;104.186.502;2.425.397.312;1.799.155.337
Tanzania;1991;102.914.982;2.438.593.049;1.817.331.354
Tanzania;1992;102.908.672;2.437.248.785;1.832.259.372
Tanzania;1993;102.972.352;2.468.719.522;1.844.648.389
Tanzania;1994;102.946.122;2.480.838.258;1.849.828.407
Tanzania;1995;103.799.034;2.661.959.994;1.972.898.424
Tanzania;1996;105.119.366;2.616.173.935;1.889.699.275
Tanzania;1997;103.571.316;2.577.778.875;1.884.926.126
Tanzania;1998;104.560.174;2.850.618.815;2.051.145.976
Tanzania;1999;104.123.992;2.865.735.755;2.077.658.827
Tanzania;2000;102.562.172;2.696.676.695;1.921.935.678
Tanzania;2001;106.080.708;2.929.747.607;216.014.075
Tanzania;2002;10.470.817;291.016.052;2.108.287.823
Tanzania;2003;106.643.034;3.273.758.432;2.395.859.895
Tanzania;2004;107.791.846;3.160.104.345;2.341.551.968
Tanzania;2005;109.545.474;3.362.049.257;247.106.904
Tanzania;2006;105.143.204;3.150.530.846;2.290.729.774
Tanzania;2007;106.211.088;3.275.550.434;2.448.622.508
Tanzania;2008;106.405.666;3.424.528.023;2.477.186.242
Tanzania;2009;105.588.616;3.480.729.611;2.561.705.975
Tanzania;2010;106.809.906;3.622.396.199;2.615.492.709
Tanzania;2011;107.878.364;3.709.771.072;2.660.337.962
Tanzania;2012;10.809.476;3.659.903.945;2.692.501.216
Thailand;1990;107.891.228;4.864.819.948;1.478.167.443
Thailand;1991;1.091.609;5.096.302.543;151.751.628
Thailand;1992;119.302.756;5.231.245.137;1.598.747.117
Thailand;1993;134.521.156;5.277.002.732;1.726.014.953
Thailand;1994;150.869.294;5.346.449.326;172.723.779
Thailand;1995;168.269.374;5.304.735.921;1.654.567.627
Thailand;1996;18.841.685;5.433.571.402;1.671.239.195
Thailand;1997;191.633.682;5.748.313.883;1.624.910.764
Thailand;1998;17.062.466;5.837.001.364;1.721.416.332
Thailand;1999;177.327.192;6.004.548.845;17.664.919
Thailand;2000;178.118.522;6.088.335.326;1.655.633.469
Thailand;2001;181.578.714;6.157.370.861;1.682.595.785
Thailand;2002;198.571.052;6.131.232.397;1.739.460.102
Thailand;2003;208.579.196;6.374.122.932;1.918.125.418
Thailand;2004;22.726.561;6.578.714.467;1.934.955.734
Thailand;2005;234.462.384;6.683.896.002;1.853.720.051
Thailand;2006;230.794.216;6.679.158.568;1.857.814.566
Thailand;2007;233.451.244;7.122.724.135;2.084.139.082
Thailand;2008;23.678.919;7.059.787.702;2.033.408.598
Thailand;2009;231.749.266;7.207.108.268;2.224.499.114
Thailand;2010;252.601.652;7.549.295.835;235.125.263
Thailand;2011;258.209.932;7.308.714.384;2.217.831.454
Thailand;2012;2.713.358.313;7.602.928.932;2.310.539.278
Togo;1990;9.668.746;1.665.926.914;1.193.953.405
Togo;1991;8.939.922;1.617.886.924;1.146.219.978
Togo;1992;8.783.242;1.564.876.935;1.087.246.551
Togo;1993;8.674.872;1.572.926.946;1.079.943.124
Togo;1994;8.983.536;1.586.076.957;1.065.019.697
Togo;1995;9.018.142;1.548.546.967;100.890.627
Togo;1996;9.429.084;1.661.391.914;1.058.401.848
Togo;1997;9.164.388;1.871.906.861;1.191.267.425
Togo;1998;9.376.322;2.154.321.808;1.423.843.003
Togo;1999;9.709.258;2.153.376.755;1.302.938.581
Togo;2000;961.852;2.115.391.702;1.320.744.159
Togo;2001;9.594.386;2.121.464.268;1.324.466.253
Togo;2002;9.686.046;2.155.486.833;1.325.568.348
Togo;2003;9.897.716;2.201.849.399;1.389.540.443
Togo;2004;9.849.386;2.080.891.965;1.221.572.537
Togo;2005;9.811.046;2.484.724.531;1.732.034.632
Togo;2006;9.684.316;2.245.480.044;1.394.835.588
Togo;2007;978.821;2.222.415.557;1.357.216.543
Togo;2008;10.176.376;2.372.461.069;1.501.647.499
Togo;2009;11.249.732;2.353.926.582;1.496.928.455
Togo;2010;11.051.034;2.369.502.095;152.576.941
Togo;2011;11.194.848;246.840.188;1.656.983.511
Togo;2012;156.178;2.526.091.664;1.666.207.612
Tonga;1990;0.076944;0.102332428;0.048286185
Tonga;1991;0.095264;0.102675638;0.048488643
Tonga;1992;0.069616;0.104928849;0.049461102
Tonga;1993;0.084272;0.104902059;0.049533561
Tonga;1994;0.0916;0.10397527;0.049306019
Tonga;1995;0.095264;0.10114848;0.048848478
Tonga;1996;0.076944;0.102202794;0.049507927
Tonga;1997;0.098928;0.102957107;0.049847377
Tonga;1998;0.087936;0.103811421;0.050316826
Tonga;1999;0.10992;0.105805734;0.051466275
Tonga;2000;0.095264;0.108020048;0.052595724
Tonga;2001;0.087936;0.109239555;0.053278376
Tonga;2002;0.102592;0.110459062;0.054121027
Tonga;2003;0.117248;0.11167857;0.078863679
Tonga;2004;0.10992;0.112898077;0.060186331
Tonga;2005;0.113584;0.114097584;0.059318982
Tonga;2006;0.12824;0.11531519;0.058574325
Tonga;2007;0.113584;0.116722795;0.057479668
Tonga;2008;0.120912;0.1179504;0.058785011
Tonga;2009;0.131904;0.119178005;0.086990355
